"id","name","bank_code","bank_digi","active","bic","street","city","country/id"
"res_bank_popular","Banco Popular","10101070","8","1","BPDODOSXXXX","","Santo Domingo","base.do"
"res_bank_reservas","Banco de Reservas","10101010","6","1","BRRDDOSDXXX","","Santo Domingo","base.do"
"res_bank_progreso","Banco del Progreso","10101110","5","1","BDPRDOSDXXX","","Santo Domingo","base.do"
"res_bank_bhd","Banco BHD León","10101230","8","1","BCBHDOSDXXX","","Santo Domingo","base.do"
"res_bank_ademi","Banco de Desarrollo ADEMI","10101300","6","1","AHCMDOSDXXX","","Santo Domingo","base.do"
"res_bank_santa_cruz","Banco Santa Cruz","10101340","4","1","SCRZDOSDXXX","","Santo Domingo","base.do"
"res_bank_citibank","Citibank","10101060","1","1","CITIDOSDXXX","","Santo Domingo","base.do"
"res_bank_scotiabank","Scotiabank","10101030","0","1","","","Santo Domingo","base.do"
"res_bank_asociacion_popular","Asociación Popular","47940900","9","1","APOPDOS1XXX","","Santo Domingo","base.do"
"res_bank_lopez_de_haro","López de Haro","10101390","9","1","","","Santo Domingo","base.do"
"res_bank_bancamerica","Bancamerica","10171228","4","1","","","Santo Domingo","base.do"
"res_bank_bdi","BDI","10101360","8","1","","","Santo Domingo","base.do"
"res_bank_promerica","Promérica","44405900","2","1","PRHRDOSDXXX","","Santo Domingo","base.do"
"res_bank_caribe","Banco Caribe","10101350","1","1","STGODOSDXXX","","Santo Domingo","base.do"
"res_bank_vimenca","Banco Vimenca","10101380","2","1","VIMEDOSDXXX","","Santo Domingo","base.do"
"res_bank_asociacion_cibao","Asociación Cibao","48991200","7","1","ACIBDOS1XXX","","Santo Domingo","base.do"
"res_bank_banesco","Banesco Banco Múltiple","11102328","0","1","BANSDOSDXXX","","Santo Domingo","base.do"
"res_bank_peravia","Banco Peravia","25141012","2","1","APARDOS1XXX","","Santo Domingo","base.do"
"res_bank_asociacion_la_nacional","Asociación La Nacional","10231034","2","1","ANAYDOS1XXX","","Santo Domingo","base.do"
"res_bank_multiple_lafise","Banco Múltiple Lafise","11121214","3","1","BCCEDOSDXXX","","Santo Domingo","base.do"
"res_bank_providencial","Banco Providencial","10171225","5","1","AHCPDOS1XXX","","Santo Domingo","base.do"
"res_bank_empire","Banco Empire","10172714","3","1","AHREDOS1XXX","","Santo Domingo","base.do"
